Title,Genre,Premiere,Seasons,Length,Status
Marvel's Daredevil,Superhero/crime fiction,"April 10, 2015","2 seasons, 26 episodes",48–59 min.,Renewed[18]
Marvel's Jessica Jones,Superhero/psychological thriller,"November 20, 2015","1 season, 13 episodes",46–55 min.,Renewed[19]
Marvel's Luke Cage,Superhero/neo-blaxploitation,"September 30, 2016","1 season, 13 episodes",46–65 min.,Renewed[20]
Upcoming
Marvel's Iron Fist,Superhero/martial arts/mystery fiction,"March 17, 2017[21]","1 season, 13 episodes",,N/A
